,Date,avg_gpm,Min,Max,avg_clean,gpd,ac-ft,cum_ac_ft
264,9/23/18,62.9097222222222,61,66,62.9097222222222,90590,0.278010501732387,58.1121432802109
265,9/24/18,62.4652777777778,60,71,62.4652777777778,89950,0.27604641385173,58.3881896940626
266,9/25/18,26.3472222222222,0,91,26.3472222222222,37940,0.116433584675204,58.5046232787378
267,9/26/18,1.40277777777778,0,117,0,0,0,58.5046232787378
268,9/27/18,24.6041666666667,0,319,24.6041666666667,35430,0.108730677518252,58.6133539562561
269,9/28/18,80.3263888888889,77,83,80.3263888888889,115670,0.354978195555637,58.9683321518117
270,9/29/18,79.0902777777778,77,82,79.0902777777778,113890,0.34951557613756,59.3178477279493
271,9/30/18,78.2916666666667,75,81,78.2916666666667,112740,0.345986355727004,59.6638340836763
272,10/1/18,77.4652777777778,75,80,77.4652777777778,111550,0.342334379823907,60.0061684635002
273,10/2/18,77.1041666666667,74,79,77.1041666666667,111030,0.340738558420873,60.3469070219211
274,10/3/18,76.1111111111111,73,79,76.1111111111111,109600,0.33635004956253,60.6832570714836
275,10/4/18,75.2291666666667,72,88,75.2291666666667,108330,0.332452562674351,61.015709634158
276,10/5/18,73.9166666666667,71,100,73.9166666666667,106440,0.326652365651786,61.3423619998098
277,10/6/18,72.5694444444444,70,78,72.5694444444444,104500,0.320698724263544,61.6630607240733
278,10/7/18,71.6805555555556,70,74,71.6805555555556,103220,0.31677054850223,61.9798312725755
279,10/8/18,69.8402777777778,67,73,69.8402777777778,100570,0.308637997121384,62.2884692696969
280,10/9/18,68.3541666666667,66,88,68.3541666666667,98430,0.302070578270436,62.5905398479673
281,10/10/18,66.7986111111111,65,68,66.7986111111111,96190,0.295196270688137,62.8857361186555
282,10/11/18,65.5972222222222,64,67,65.5972222222222,94460,0.289887095635735,63.1756232142912
283,10/12/18,64.6319444444444,63,75,64.6319444444444,93070,0.285621342269933,63.4612445565611
284,10/13/18,63.3125,61,65,63.3125,91170,0.279790456374232,63.7410350129354
285,10/14/18,62.3541666666667,60,64,62.3541666666667,89790,0.275555391881566,64.0165904048169
286,10/15/18,61.4375,59,63,61.4375,88470,0.27150446062771,64.2880948654446
287,10/16/18,60.2430555555556,58,62,60.2430555555556,86750,0.266225974448444,64.5543208398931
288,10/17/18,59.0486111111111,57,61,59.0486111111111,85030,0.260947488269178,64.8152683281623
