Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_4 11 (Omykiss),Drift_Forage 110,0:00:04:03.395/60000,243.006577,-30.559694,8.85677,13.0037,0.034387,1.163582,75.582207,
Subsample_4 11 (Omykiss),Drift_Forage 113,0:00:04:09.395/60000,249.006577,-30.026884,8.952987,12.8179,0.032077,0.705953,75.384933,
Subsample_4 11 (Omykiss),Length 109,0:00:04:00.395/60000,240.006577,-26.871138,12.399021,11.03073,0.011311,0.436399,76.82692,
Subsample_4 11 (Omykiss),Drift_Forage 112,0:00:04:06.395/60000,246.006577,-30.090473,9.123665,12.605051,0.03001,1.806122,75.586006,
Subsample_4 11 (Omykiss),Length 111,0:00:04:03.395/60000,243.006577,-30.435696,8.690975,13.027909,0.034178,1.667981,75.37394,
Subsample_4 11 (Omykiss),Length 111,0:00:04:03.395/60000,243.006577,-25.897184,11.641297,11.896125,0.020979,1.106403,75.574257,
Subsample_4 11 (Omykiss),Drift_Forage 116,0:00:04:15.395/60000,255.006577,-30.960842,7.794116,12.162962,0.023504,1.119451,75.044914,
Subsample_4 11 (Omykiss),Drift_Forage 108,0:00:04:00.395/60000,240.006577,-30.635191,8.594416,12.411424,0.027189,1.504056,75.480484,
Subsample_4 11 (Omykiss),Drift_Forage 117,0:00:04:18.395/60000,258.006592,-30.996244,7.200426,12.510031,0.02623,1.768701,74.541115,
Subsample_4 11 (Omykiss),Drift_Forage 118,0:00:04:21.395/60000,261.006592,-31.031397,7.578411,11.933863,0.02095,1.185983,74.939987,
Subsample_4 11 (Omykiss),Drift_Forage 119,0:00:04:24.395/60000,264.006592,-31.038284,7.382028,12.382677,0.025247,1.509551,74.727913,
Subsample_4 11 (Omykiss),Drift_Forage 120,0:00:04:27.395/60000,267.006592,-30.734951,8.080538,12.547264,0.027844,1.857592,75.101227,
Subsample_4 11 (Omykiss),Drift_Forage 121,0:00:04:30.395/60000,270.006592,-30.500679,8.508602,12.6197,0.029261,1.14856,75.309242,
Subsample_4 12 (Okisutch),Drift_Forage 123,0:00:04:03.395/60000,243.006577,48.837521,23.68729,9.845806,0.122109,1.182544,72.606842,
Subsample_4 12 (Okisutch),Drift_Forage 122,0:00:04:00.395/60000,240.006577,45.039738,23.583334,7.680876,0.143844,1.79647,72.61348,
Subsample_4 12 (Okisutch),Drift_Forage 124,0:00:04:06.395/60000,246.006577,52.243008,24.372482,12.080979,0.091705,0.79078,73.350723,
Subsample_4 12 (Okisutch),Drift_Forage 125,0:00:04:09.395/60000,249.006577,54.695778,23.858971,14.388877,0.051726,0.757435,72.951111,
Subsample_5 13 (Omykiss),Drift_Forage 129,0:00:06:30.395/60000,390.006592,-13.6899,0.044163,12.509172,0.02621,0.893729,59.662899,
Subsample_4 12 (Okisutch),Length 127,0:00:04:00.395/60000,240.006577,45.023087,23.667418,7.679698,0.14393,2.326818,72.694344,
Subsample_5 13 (Omykiss),Drift_Forage 131,0:00:06:36.395/60000,396.006592,-14.37745,-1.202235,11.769453,0.033222,0.744293,58.979858,
